NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company
DUNKIN' DONUTS,WILMINGTON,NC,28401,7783,37129,NEW HANOVER,9200,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,208667.9196,145858.8758004,62809.0437996,56340.338292,26918.1616284,25040.150352,0,0.9490904248
HIBACHI EXPRESS,WILMINGTON,NC,28403,1622,37129,NEW HANOVER,9200,LSR - QUICK CASUAL,OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$7 TO $10,NOT APPLICABLE,733864.5576,659827.832188235,74036.7254117647,118615.452141176,112504.484329412,124961.457176471,242480.068941176,0.2328682141
DUNKIN' DONUTS,LAKE WORTH,FL,33449,5456,12099,PALM BEACH,,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,209326.8198,146319.4470402,63007.3727598,56518.241346,27003.1597542,25119.218376,0,0.2646250784
BRASSERIE DU SOLEIL,WILMINGTON,NC,28403,7234,37129,NEW HANOVER,9200,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",EUROPEAN,FRENCH,INDEPENDENT (1-9 UNITS),OVER 50,5 YEARS PLUS,"$1,000,001 - $2,500,000",$15 TO $20,NOT APPLICABLE,608960.044340327,571795.777674887,37164.2666654399,91329.9558886046,117956.150720744,84796.3513519583,226006.513918185,0.8934203103
EL CERRO GRANDE MEXICAN RESTAURANT,JACKSONVILLE,NC,28546,5726,37133,ONSLOW,3605,LSR - QUICK CASUAL,MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",$10 TO $15,NOT APPLICABLE,311215.3992,279818.094594043,31397.3046059571,50302.1366914487,47710.6131366713,52993.3342291022,102830.325667129,0.2896845426
OUTBACK STEAKHOUSE,HICKORY,NC,28602,5182,37035,CATAWBA,3290,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","STEAK, SEAFOOD & FISH",FAMILY STEAK / CHOPHOUSE,501+ UNITS,OVER 50,5 YEARS PLUS,"$2,500,001 - $5,000,000",$10 TO $15,NOT APPLICABLE,905296.795940994,847903.198720217,57393.5972207776,117641.019717726,158123.059746378,150724.253474823,363492.782398258,0.6831473243
NARA EXPRESS,MARION,NC,28752,3356,37111,MCDOWELL,,LSR - QUICK CASUAL,OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,103455.9684,93018.7003165154,10437.2680834846,16721.7183898367,15860.2295956443,17616.3413684211,34183.4335644283,0.4997418162
STARLIGHT MOTEL,WHITTIER,NC,28789,7731,37099,JACKSON,,UNCODED HOTELS & MOTELS WITHOUT RESTAURANT,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",NOT APPLICABLE,<50,,,,,,,,#NA
TOMATO JAM CAFE,ASHEVILLE,NC,28801,4503,37021,BUNCOMBE,0480,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,58846.1205250427,53554.6022030769,5291.51832196581,7659.97843401709,9134.55690598291,11163.733475812,20206.944812735,0.3544737962
PIZZA HUT,BISHOPVILLE,SC,29010,7011,45061,LEE,,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,231901.4448,189824.939031122,42076.5057688775,40597.5424729592,22184.4494387755,48312.801,43555.4690647959,0.874420301
